iter	Logloss
0	0.6873788015
1	0.6821061533
2	0.6778048835
3	0.6735977861
4	0.6696538641
5	0.6660889939
6	0.6628634362
7	0.6600599335
8	0.6573974615
9	0.6550641306
10	0.652936884
11	0.6508324015
12	0.6490302103
13	0.6474166791
14	0.6458143659
15	0.6444439031
16	0.643194546
17	0.6419058774
18	0.6407232665
19	0.6396646442
20	0.6387902254
21	0.6378230911
22	0.6373066095
23	0.6365334765
24	0.6359785659
25	0.6351837354
26	0.6345085991
27	0.6339786237
28	0.63336008
29	0.6328415252
30	0.632316447
31	0.6318289511
32	0.6313679074
33	0.6309588127
34	0.6305422099
35	0.6302301662
36	0.629891513
37	0.6295895737
38	0.6293215336
39	0.6289961296
40	0.6286933739
41	0.6284553878
42	0.628246919
43	0.6280412646
44	0.6278023204
45	0.6276013518
46	0.6273791935
47	0.6271862725
48	0.6270254239
49	0.6268279686
50	0.626626316
51	0.6264432305
52	0.6262703343
53	0.6260944922
54	0.625920274
55	0.6257049012
56	0.6255598809
57	0.6253898965
58	0.6252225221
59	0.6250367021
60	0.6248711877
61	0.624747237
62	0.624597774
63	0.6244585473
64	0.6242898106
65	0.6241144789
66	0.6239979111
67	0.6238922503
68	0.6237608403
69	0.6236299217
70	0.6235453399
71	0.6233591356
72	0.6232281109
73	0.6231695784
74	0.6229941801
75	0.6228929393
76	0.6227998235
77	0.6227281649
78	0.6226175065
79	0.6224987509
80	0.6223552677
81	0.6222349391
82	0.6221244763
83	0.6220361397
84	0.6219468734
85	0.6218502667
86	0.621769365
87	0.6216784927
88	0.6215651845
89	0.6214479513
90	0.62137409
91	0.6212382908
92	0.6211857336
93	0.6210590298
94	0.6209209798
95	0.6208648668
96	0.6207467088
97	0.6206407293
98	0.620535267
99	0.6204416588
100	0.6203562492
101	0.6202396941
102	0.6201347163
103	0.6200551437
104	0.6199484008
105	0.6198208431
106	0.6196815994
107	0.6195956473
108	0.6195291963
109	0.6194216727
110	0.6193548931
111	0.6192818777
112	0.6191751296
113	0.6190898495
114	0.6189864653
115	0.6188995064
116	0.6188237077
117	0.6187197308
118	0.6186381237
119	0.6185199208
120	0.6184708423
121	0.6184196586
122	0.6183367923
123	0.6182382036
124	0.6182076649
125	0.6180826798
126	0.6180302151
127	0.6178969833
128	0.6177985569
129	0.6177267628
130	0.6176255004
131	0.617557605
132	0.6174749445
133	0.6173760229
134	0.6172710624
135	0.617215297
136	0.6170697125
137	0.6169531646
138	0.6168605166
139	0.616760503
140	0.6166852812
141	0.6165787066
142	0.6164909951
143	0.6163980581
144	0.6163532011
145	0.6162690542
146	0.6161503181
147	0.6160683873
148	0.6159743826
149	0.6158231159
150	0.6157410431
151	0.6156758797
152	0.6155948781
153	0.6154957992
154	0.6154182187
155	0.6152952877
156	0.6152060158
157	0.6151102512
158	0.6149989651
159	0.6149568207
160	0.6148463265
161	0.6147599011
162	0.6146641376
163	0.6145370293
164	0.6144413988
165	0.6143622271
166	0.6142652887
167	0.6141266089
168	0.6140287926
169	0.6139049327
170	0.6138053046
171	0.6137408267
172	0.6136767193
173	0.61355728
174	0.613466389
175	0.6133748122
176	0.6132387236
177	0.6131392752
178	0.6130459482
179	0.6129652974
180	0.6128850021
181	0.6128476661
182	0.6127450864
183	0.6126724633
184	0.6125860832
185	0.6124839024
186	0.6124098361
187	0.6122932926
188	0.6122232168
189	0.6121192091
190	0.6120423334
191	0.611969118
192	0.6118949165
193	0.6118022932
194	0.6117148771
195	0.6115849447
196	0.6115124043
197	0.6114271705
198	0.611385123
199	0.6113130494
200	0.6112377218
201	0.6111288264
202	0.611041934
203	0.6109466051
204	0.6108771284
205	0.6108155495
206	0.6107300462
207	0.6106613613
208	0.6105325779
209	0.6104359672
210	0.610365457
211	0.6102499633
212	0.6101367859
213	0.6100122202
214	0.609896098
215	0.6098114523
216	0.6097008024
217	0.6096262293
218	0.6094860384
219	0.6094305797
220	0.6093506325
221	0.6092784454
222	0.6091798112
223	0.6090412895
224	0.6089577146
225	0.6088251981
226	0.6087344964
227	0.6086124764
228	0.608540793
